area_name,year,FIPS,Median Household Income,National Rank (Income)
Alamance County,2020,37001.0,55078.0,"1,666"
Alexander County,2020,37003.0,55041.0,"1,673"
Alleghany County,2020,37005.0,38930.0,"2,946"
Anson County,2020,37007.0,39862.0,"2,904"
Ashe County,2020,37009.0,43938.0,"2,674"
Avery County,2020,37011.0,46383.0,"2,491"
Beaufort County,2020,37013.0,51894.0,"2,048"
Bertie County,2020,37015.0,37571.0,"2,993"
Bladen County,2020,37017.0,39259.0,"2,939"
Brunswick County,2020,37019.0,64400.0,822
Buncombe County,2020,37021.0,59699.0,"1,206"
Burke County,2020,37023.0,48142.0,"2,358"
Cabarrus County,2020,37025.0,75765.0,343
Caldwell County,2020,37027.0,48549.0,"2,331"
Camden County,2020,37029.0,68560.0,592
Carteret County,2020,37031.0,61805.0,"1,032"
Caswell County,2020,37033.0,53279.0,"1,879"
Catawba County,2020,37035.0,57840.0,"1,391"
Chatham County,2020,37037.0,76791.0,308
Cherokee County,2020,37039.0,43319.0,"2,724"
Chowan County,2020,37041.0,46288.0,"2,497"
Clay County,2020,37043.0,47155.0,"2,429"
Cleveland County,2020,37045.0,45646.0,"2,555"
Columbus County,2020,37047.0,40562.0,"2,875"
Craven County,2020,37049.0,56325.0,"1,535"
Cumberland County,2020,37051.0,50746.0,"2,155"
Currituck County,2020,37053.0,79416.0,255
Dare County,2020,37055.0,69500.0,537
Davidson County,2020,37057.0,53083.0,"1,908"
Davie County,2020,37059.0,64657.0,804
Duplin County,2020,37061.0,45744.0,"2,540"
Durham County,2020,37063.0,67000.0,674
Edgecombe County,2020,37065.0,41974.0,"2,802"
Forsyth County,2020,37067.0,56830.0,"1,479"
Franklin County,2020,37069.0,62332.0,992
Gaston County,2020,37071.0,56819.0,"1,480"
Gates County,2020,37073.0,51599.0,"2,075"
Graham County,2020,37075.0,41977.0,"2,801"
Granville County,2020,37077.0,60606.0,"1,130"
Greene County,2020,37079.0,45766.0,"2,539"
Guilford County,2020,37081.0,58646.0,"1,297"
Halifax County,2020,37083.0,37832.0,"2,986"
Harnett County,2020,37085.0,59676.0,"1,211"
Haywood County,2020,37087.0,52063.0,"2,026"
Henderson County,2020,37089.0,59928.0,"1,184"
Hertford County,2020,37091.0,43523.0,"2,708"
Hoke County,2020,37093.0,53456.0,"1,856"
Hyde County,2020,37095.0,48577.0,"2,328"
Iredell County,2020,37097.0,66824.0,679
Jackson County,2020,37099.0,47989.0,"2,366"
Johnston County,2020,37101.0,66026.0,722
Jones County,2020,37103.0,42401.0,"2,779"
Lee County,2020,37105.0,57674.0,"1,409"
Lenoir County,2020,37107.0,41092.0,"2,850"
Lincoln County,2020,37109.0,65399.0,755
Macon County,2020,37113.0,48169.0,"2,357"
Madison County,2020,37115.0,51396.0,"2,092"
Martin County,2020,37117.0,41798.0,"2,815"
McDowell County,2020,37111.0,50615.0,"2,171"
Mecklenburg County,2020,37119.0,73124.0,406
Mitchell County,2020,37121.0,48320.0,"2,349"
Montgomery County,2020,37123.0,50618.0,"2,169"
Moore County,2020,37125.0,67440.0,649
Nash County,2020,37127.0,52837.0,"1,934"
New Hanover County,2020,37129.0,62362.0,991
Northampton County,2020,37131.0,39764.0,"2,910"
Onslow County,2020,37133.0,54732.0,"1,713"
Orange County,2020,37135.0,79205.0,262
Pamlico County,2020,37137.0,52124.0,"2,016"
Pasquotank County,2020,37139.0,56510.0,"1,510"
Pender County,2020,37141.0,65681.0,737
Perquimans County,2020,37143.0,53138.0,"1,895"
Person County,2020,37145.0,55759.0,"1,590"
Pitt County,2020,37147.0,50422.0,"2,189"
Polk County,2020,37149.0,55058.0,"1,670"
Randolph County,2020,37151.0,51598.0,"2,076"
Richmond County,2020,37153.0,38926.0,"2,947"
Robeson County,2020,37155.0,36736.0,"3,012"
Rockingham County,2020,37157.0,46993.0,"2,438"
Rowan County,2020,37159.0,53600.0,"1,842"
Rutherford County,2020,37161.0,45500.0,"2,563"
Sampson County,2020,37163.0,45127.0,"2,591"
Scotland County,2020,37165.0,39866.0,"2,903"
Stanly County,2020,37167.0,56462.0,"1,514"
Stokes County,2020,37169.0,52637.0,"1,961"
Surry County,2020,37171.0,50881.0,"2,140"
Swain County,2020,37173.0,48608.0,"2,326"
Transylvania County,2020,37175.0,57830.0,"1,392"
Tyrrell County,2020,37177.0,40938.0,"2,856"
Union County,2020,37179.0,88465.0,153
Vance County,2020,37181.0,45243.0,"2,579"
Wake County,2020,37183.0,88471.0,152
Warren County,2020,37185.0,39588.0,"2,923"
Washington County,2020,37187.0,32937.0,"3,087"
Watauga County,2020,37189.0,48786.0,"2,309"
Wayne County,2020,37191.0,49488.0,"2,263"
Wilkes County,2020,37193.0,46079.0,"2,520"
Wilson County,2020,37195.0,47348.0,"2,409"
Yadkin County,2020,37197.0,51348.0,"2,098"
Yancey County,2020,37199.0,45324.0,"2,573"
